532,Rafiqul Alam,2,
533,Raqibul Hasan,2,
534,Samiur Rahman,2,
535,Shaheedur Rahman,2,
536,Aminul Islam,39,
537,Athar Ali Khan,19,
538,Azhar Hossain,7,
539,Harunur Rashid,2,
540,Nasir Ahmed,4,
541,Zahid Razzak,3,
542,Akram Khan,44,
543,Faruk Ahmed,7,
544,Wahidul Gani,0,
545,Enamul Haque,26,
546,Jahangir Alam Talukdar,1,
547,Saiful Islam,4,
548,Anisur Rahman,2,
549,Javed Omar,59,
550,Khaled Mashud,110,
551,Mohammad Rafique,104,
552,Sajjad Ahmed,2,
553,Habibul Bashar,105,
554,Hasibul Hossain,26,
555,Naimur Rahman,27,
556,Salahuddin Ahmed,5,
557,Mafizur Rahman,4,
558,Zakir Hasan,0,
559,Jahangir Alam,3,
560,Shahriar Hossain,5,
561,Shafiuddin Ahmed,10,
562,Khaled Mahmud,72,
563,Sanwar Hossain,27,
564,Shariful Haque,1,
565,Zakir Hossain,1,
566,Mehrab Hossain,18,
567,Morshed Ali Khan,1,
568,Al Sahariar,29,
569,Manjural Islam,22,
570,"Aminul Islam, Jr.",1,
571,Mahbubur Rahman,1,
572,Niamur Rashid,2,
573,Ahmed Kamal,1,
574,Mushfiqur Rahman,25,
575,Mohammad Sharif,9,
576,Mohammad Ashraful,168,
577,Fahim Muntasir,1,
578,Mashrafe Mortaza,149,
579,Tushar Imran,40,
580,Tareq Aziz,8,
581,Alok Kapali,66,
582,Tapash Baisya,41,
583,Hannan Sarkar,20,
584,Mazharul Haque,1,
585,Talha Jubair,5,
586,Anwar Hossain Monir,1,
587,Rafiqul Islam,1,
588,Ehsanul Haque,6,
589,Anwar Hossain,1,
590,Mohammad Salim,1,
591,Rajin Saleh,43,
592,Jamaluddin Ahmed,1,
593,Manjural Islam Rana,21,
594,Nafees Iqbal,16,
595,Moniruzzaman,2,
596,Faisal Hossain,5,
597,Abdur Razzak,97,
598,Aftab Ahmed,85,
599,Nazmul Hossain,21,
600,Enamul Haque Jr,5,
601,Shahriar Nafees,75,
602,Syed Rasel,27,
603,Shahadat Hossain,27,
604,Farhad Reza,31,
605,Mushfiqur Rahim,191,
606,Shakib Al Hasan,186,
607,"Mehrab Hossain, Jr.",16,
608,Tamim Iqbal,191,
609,Mahmudullah,151,
610,Junaid Siddique,53,
611,Dhiman Ghosh,12,
612,Mosharraf Hossain,5,
613,Raqibul Hasan,54,
614,Nazimuddin,11,
615,Dolar Mahmud,4,
616,Naeem Islam,51,
617,Imrul Kayes,78,
618,Mahbubul Alam,2,
619,Rubel Hossain,49,
620,Shafiul Islam,31,
621,Suhrawadi Shuvo,10,
622,Jahurul Islam,13,
623,Nasir Hossain,52,
624,Shuvagata Hom,3,
625,Elias Sunny,4,
626,Abul Hasan,3,
627,Anamul Haque,34,
628,Mominul Haque,26,
629,Sohag Gazi,16,
630,Ziaur Rahman,11,
631,Robiul Islam,1,
632,Shamsur Rahman,10,
633,Al-Amin Hossain,7,
634,Arafat Sunny,11,
635,Mohammad Mithun,15,
636,Taskin Ahmed,16,
637,Sabbir Rahman,54,
638,Jubair Hossain,1,
639,Soumya Sarkar,43,
640,Taijul Islam,2,
641,Liton Das,28,
642,Mustafizur Rahman,21,
643,Mosaddek Hossain,22,
